trial_id,extinction_year,primary_cause,subcategory,project_rebase
42,16.2,Nuclear Exchange,Regional Escalation Cascade,False
43,17.4,Nuclear Exchange,Regional Escalation Cascade,False
44,4.5,Nuclear Exchange,Automated Response Failure,False
45,76.8,Nuclear Exchange,Automated Response Failure,False
46,32.8,Nuclear Exchange,Automated Response Failure,False
47,61.7,Nuclear Exchange,Great Power Direct Conflict,False
48,49.5,Nuclear Exchange,Automated Response Failure,False
49,20.0,Nuclear Exchange,Great Power Direct Conflict,False
50,56.1,Nuclear Exchange,Regional Escalation Cascade,False
51,2.0,Nuclear Exchange,Automated Response Failure,False
52,4.8,Nuclear Exchange,Regional Escalation Cascade,False
53,8.7,Nuclear Exchange,Automated Response Failure,False
54,10.8,Nuclear Exchange,Regional Escalation Cascade,False
55,7.0,Nuclear Exchange,Automated Response Failure,False
56,38.8,Nuclear Exchange,Great Power Direct Conflict,False
57,9.7,Nuclear Exchange,False Alarm Launch,False
58,7.3,Nuclear Exchange,Regional Escalation Cascade,False
59,17.2,Nuclear Exchange,Regional Escalation Cascade,False
60,3.3,Nuclear Exchange,False Alarm Launch,False
61,35.7,Nuclear Exchange,Automated Response Failure,False
62,95.4,Nuclear Exchange,Great Power Direct Conflict,False
63,32.5,Nuclear Exchange,Great Power Direct Conflict,False
64,4.9,Nuclear Exchange,Great Power Direct Conflict,False
65,37.2,Nuclear Exchange,Automated Response Failure,False
66,27.0,Nuclear Exchange,Regional Escalation Cascade,False
67,28.7,Nuclear Exchange,Automated Response Failure,False
68,32.5,Nuclear Exchange,Great Power Direct Conflict,False
69,9.8,Nuclear Exchange,False Alarm Launch,False
70,2.7,Nuclear Exchange,Great Power Direct Conflict,False
71,43.7,Nuclear Exchange,Regional Escalation Cascade,False
72,21.5,Nuclear Exchange,Automated Response Failure,False
73,8.8,Nuclear Exchange,Automated Response Failure,False
74,8.2,Nuclear Exchange,Great Power Direct Conflict,False
75,8.7,Nuclear Exchange,Regional Escalation Cascade,False
76,28.8,Nuclear Exchange,Regional Escalation Cascade,False
77,22.3,Nuclear Exchange,False Alarm Launch,False
78,48.0,Nuclear Exchange,Great Power Direct Conflict,False
79,14.1,Nuclear Exchange,False Alarm Launch,False
80,2.8,Nuclear Exchange,Automated Response Failure,False
81,27.5,Nuclear Exchange,Automated Response Failure,False
82,31.5,Nuclear Exchange,Regional Escalation Cascade,False
83,18.1,Nuclear Exchange,False Alarm Launch,False
84,32.4,Nuclear Exchange,Regional Escalation Cascade,False
85,15.0,Nuclear Exchange,Great Power Direct Conflict,False
86,16.3,Nuclear Exchange,Regional Escalation Cascade,False
87,12.3,Nuclear Exchange,Automated Response Failure,False
88,2.5,Nuclear Exchange,Automated Response Failure,False
89,22.3,Nuclear Exchange,Regional Escalation Cascade,False
90,8.3,Nuclear Exchange,Great Power Direct Conflict,False
91,15.6,Nuclear Exchange,False Alarm Launch,False
92,52.4,Nuclear Exchange,Automated Response Failure,False
93,6.3,Nuclear Exchange,Automated Response Failure,False
94,11.6,Nuclear Exchange,Great Power Direct Conflict,False
95,31.0,Nuclear Exchange,Regional Escalation Cascade,False
96,5.7,Nuclear Exchange,Automated Response Failure,False
97,7.5,Nuclear Exchange,Automated Response Failure,False
98,3.9,Nuclear Exchange,Great Power Direct Conflict,False
99,58.4,Nuclear Exchange,Regional Escalation Cascade,False
100,36.3,Nuclear Exchange,Great Power Direct Conflict,False
101,22.1,Nuclear Exchange,Great Power Direct Conflict,False
102,45.1,Nuclear Exchange,Regional Escalation Cascade,False
103,35.8,Nuclear Exchange,Automated Response Failure,False
104,4.5,Nuclear Exchange,False Alarm Launch,False
105,49.1,Nuclear Exchange,False Alarm Launch,False
106,17.1,Nuclear Exchange,False Alarm Launch,False
107,36.2,Nuclear Exchange,Great Power Direct Conflict,False
108,49.8,Nuclear Exchange,Automated Response Failure,False
109,8.4,Nuclear Exchange,Automated Response Failure,False
110,2.6,Nuclear Exchange,Automated Response Failure,False
111,5.7,Nuclear Exchange,Automated Response Failure,False
112,12.3,Nuclear Exchange,Great Power Direct Conflict,False
113,37.5,Nuclear Exchange,False Alarm Launch,False
114,43.4,Nuclear Exchange,False Alarm Launch,False
115,15.7,Nuclear Exchange,Regional Escalation Cascade,False
116,11.9,Nuclear Exchange,Automated Response Failure,False
117,5.5,Nuclear Exchange,False Alarm Launch,False
118,2.8,Nuclear Exchange,False Alarm Launch,False
119,9.1,Nuclear Exchange,Automated Response Failure,False
120,63.0,Nuclear Exchange,Automated Response Failure,False
121,8.6,Nuclear Exchange,False Alarm Launch,False
122,16.1,Nuclear Exchange,Regional Escalation Cascade,False
123,26.7,Nuclear Exchange,Automated Response Failure,False
124,9.9,Nuclear Exchange,False Alarm Launch,False
125,78.5,Nuclear Exchange,Regional Escalation Cascade,False
126,72.2,Nuclear Exchange,Great Power Direct Conflict,False
127,6.4,Nuclear Exchange,Regional Escalation Cascade,False
128,15.1,Nuclear Exchange,Automated Response Failure,False
129,7.9,Nuclear Exchange,Great Power Direct Conflict,False
130,7.4,Nuclear Exchange,Regional Escalation Cascade,False
131,20.7,Nuclear Exchange,False Alarm Launch,False
132,15.4,Nuclear Exchange,Automated Response Failure,False
133,7.2,Nuclear Exchange,Great Power Direct Conflict,False
134,52.6,Nuclear Exchange,False Alarm Launch,False
135,6.0,Nuclear Exchange,Great Power Direct Conflict,False
136,3.4,Nuclear Exchange,Regional Escalation Cascade,False
137,14.8,Nuclear Exchange,False Alarm Launch,False
138,93.4,Nuclear Exchange,Automated Response Failure,False
139,6.1,Nuclear Exchange,False Alarm Launch,False
140,24.5,Nuclear Exchange,Regional Escalation Cascade,False
141,31.5,Nuclear Exchange,Great Power Direct Conflict,False
142,6.0,Nuclear Exchange,False Alarm Launch,False
143,28.7,Nuclear Exchange,Great Power Direct Conflict,False
144,10.1,Nuclear Exchange,Automated Response Failure,False
145,22.0,Nuclear Exchange,False Alarm Launch,False
146,22.1,Nuclear Exchange,Great Power Direct Conflict,False
147,16.9,Nuclear Exchange,Automated Response Failure,False
148,2.1,Nuclear Exchange,Regional Escalation Cascade,False
149,39.7,Nuclear Exchange,False Alarm Launch,False
150,8.5,Nuclear Exchange,False Alarm Launch,False
151,4.5,Nuclear Exchange,False Alarm Launch,False
152,19.7,Nuclear Exchange,Great Power Direct Conflict,False
153,24.9,Nuclear Exchange,Great Power Direct Conflict,False
154,15.8,Nuclear Exchange,Automated Response Failure,False
155,5.7,Nuclear Exchange,False Alarm Launch,False
156,22.8,Nuclear Exchange,Automated Response Failure,False
157,4.2,Nuclear Exchange,False Alarm Launch,False
158,25.8,Nuclear Exchange,Regional Escalation Cascade,False
159,10.8,Nuclear Exchange,False Alarm Launch,False
160,60.7,Nuclear Exchange,Automated Response Failure,False
161,3.3,Nuclear Exchange,Great Power Direct Conflict,False
162,9.2,Nuclear Exchange,Regional Escalation Cascade,False
163,2.6,Nuclear Exchange,Regional Escalation Cascade,False
164,56.9,Nuclear Exchange,False Alarm Launch,False
165,46.2,Nuclear Exchange,Regional Escalation Cascade,False
166,6.6,Nuclear Exchange,Automated Response Failure,False
167,23.7,Nuclear Exchange,Automated Response Failure,False
168,37.4,Nuclear Exchange,False Alarm Launch,False
169,17.8,Nuclear Exchange,Great Power Direct Conflict,False
170,16.6,Nuclear Exchange,Regional Escalation Cascade,False
171,6.1,Nuclear Exchange,Regional Escalation Cascade,False
172,2.1,Nuclear Exchange,False Alarm Launch,False
173,50.1,Nuclear Exchange,Regional Escalation Cascade,False
174,50.7,Nuclear Exchange,Great Power Direct Conflict,False
175,22.1,Nuclear Exchange,False Alarm Launch,False
176,9.1,Nuclear Exchange,Automated Response Failure,False
177,9.5,Nuclear Exchange,Regional Escalation Cascade,False
178,28.5,Nuclear Exchange,False Alarm Launch,False
179,50.0,Nuclear Exchange,Automated Response Failure,False
180,48.0,Nuclear Exchange,Automated Response Failure,False
181,33.3,Nuclear Exchange,Automated Response Failure,False
182,22.6,Nuclear Exchange,False Alarm Launch,False
183,3.9,Nuclear Exchange,False Alarm Launch,False
184,50.3,Nuclear Exchange,Automated Response Failure,False
185,20.5,Nuclear Exchange,Automated Response Failure,False
186,2.4,Nuclear Exchange,False Alarm Launch,False
187,24.0,Nuclear Exchange,False Alarm Launch,False
188,3.9,Nuclear Exchange,Great Power Direct Conflict,False
189,17.5,Nuclear Exchange,Automated Response Failure,False
190,25.9,Nuclear Exchange,Regional Escalation Cascade,False
191,23.2,Nuclear Exchange,Regional Escalation Cascade,False
192,5.6,Nuclear Exchange,False Alarm Launch,False
193,27.4,Nuclear Exchange,Regional Escalation Cascade,False
194,6.0,Nuclear Exchange,False Alarm Launch,False
195,8.7,Nuclear Exchange,Great Power Direct Conflict,False
196,30.2,Nuclear Exchange,False Alarm Launch,False
197,23.1,Nuclear Exchange,Automated Response Failure,False
198,41.6,Nuclear Exchange,False Alarm Launch,False
199,23.6,Nuclear Exchange,Regional Escalation Cascade,False
200,18.5,Nuclear Exchange,Regional Escalation Cascade,False
201,2.2,Nuclear Exchange,Regional Escalation Cascade,False
202,10.1,Nuclear Exchange,Automated Response Failure,False
203,6.8,Nuclear Exchange,False Alarm Launch,False
204,6.2,Nuclear Exchange,False Alarm Launch,False
205,79.5,Nuclear Exchange,Regional Escalation Cascade,False
206,11.0,Nuclear Exchange,Automated Response Failure,False
207,49.0,Nuclear Exchange,Regional Escalation Cascade,False
208,21.9,Nuclear Exchange,Regional Escalation Cascade,False
209,34.8,Nuclear Exchange,Automated Response Failure,False
210,15.4,Nuclear Exchange,Regional Escalation Cascade,False
211,18.9,Nuclear Exchange,Great Power Direct Conflict,False
212,14.9,Nuclear Exchange,Automated Response Failure,False
213,4.8,Nuclear Exchange,Regional Escalation Cascade,False
214,28.2,Nuclear Exchange,False Alarm Launch,False
215,7.3,Nuclear Exchange,Great Power Direct Conflict,False
216,22.8,Nuclear Exchange,False Alarm Launch,False
217,4.3,Nuclear Exchange,False Alarm Launch,False
218,62.1,Nuclear Exchange,Great Power Direct Conflict,False
219,67.7,Nuclear Exchange,Automated Response Failure,False
220,54.2,Nuclear Exchange,Regional Escalation Cascade,False
221,10.2,Nuclear Exchange,False Alarm Launch,False
222,58.0,Nuclear Exchange,False Alarm Launch,False
223,12.3,Nuclear Exchange,False Alarm Launch,False
224,74.8,Nuclear Exchange,Automated Response Failure,False
225,72.9,Nuclear Exchange,False Alarm Launch,False
226,42.2,Nuclear Exchange,False Alarm Launch,False
227,7.7,Nuclear Exchange,False Alarm Launch,False
228,10.7,Nuclear Exchange,Great Power Direct Conflict,False
229,41.9,Nuclear Exchange,Great Power Direct Conflict,False
230,8.4,Nuclear Exchange,False Alarm Launch,False
231,4.1,Nuclear Exchange,Automated Response Failure,False
232,17.9,Nuclear Exchange,Automated Response Failure,False
233,60.5,Nuclear Exchange,Regional Escalation Cascade,False
234,26.2,Nuclear Exchange,Great Power Direct Conflict,False
235,18.6,Nuclear Exchange,Automated Response Failure,False
236,2.2,Nuclear Exchange,False Alarm Launch,False
237,21.0,Nuclear Exchange,Great Power Direct Conflict,False
238,101.4,Nuclear Exchange,Automated Response Failure,False
239,3.3,Nuclear Exchange,Regional Escalation Cascade,False
240,16.1,Nuclear Exchange,False Alarm Launch,False
241,46.2,Nuclear Exchange,Great Power Direct Conflict,False
242,29.7,Nuclear Exchange,Regional Escalation Cascade,False
243,26.3,Nuclear Exchange,Regional Escalation Cascade,False
244,26.7,Nuclear Exchange,Great Power Direct Conflict,False
245,9.8,Nuclear Exchange,Automated Response Failure,False
246,7.6,Nuclear Exchange,False Alarm Launch,False
247,36.5,Nuclear Exchange,Regional Escalation Cascade,False
248,36.5,Nuclear Exchange,Regional Escalation Cascade,False
249,44.4,Nuclear Exchange,Great Power Direct Conflict,False
250,53.8,Nuclear Exchange,Great Power Direct Conflict,False
251,15.8,Nuclear Exchange,Great Power Direct Conflict,False
252,15.3,Nuclear Exchange,Regional Escalation Cascade,False
253,35.2,Nuclear Exchange,Automated Response Failure,False
254,23.1,Nuclear Exchange,Automated Response Failure,False
255,26.6,Nuclear Exchange,False Alarm Launch,False
256,34.9,Nuclear Exchange,Great Power Direct Conflict,False
257,48.6,Nuclear Exchange,False Alarm Launch,False
258,9.1,Nuclear Exchange,Regional Escalation Cascade,False
259,10.4,Nuclear Exchange,Regional Escalation Cascade,False
260,2.2,Nuclear Exchange,Regional Escalation Cascade,False
261,19.0,Nuclear Exchange,False Alarm Launch,False
262,13.8,Nuclear Exchange,Great Power Direct Conflict,False
263,17.2,Nuclear Exchange,False Alarm Launch,False
264,7.4,Nuclear Exchange,False Alarm Launch,False
265,19.7,Nuclear Exchange,Regional Escalation Cascade,False
266,38.0,Nuclear Exchange,Regional Escalation Cascade,False
267,9.8,Nuclear Exchange,Automated Response Failure,False
268,3.0,Nuclear Exchange,Great Power Direct Conflict,False
269,16.3,Nuclear Exchange,Great Power Direct Conflict,False
270,32.3,Nuclear Exchange,Great Power Direct Conflict,False
271,5.3,Nuclear Exchange,False Alarm Launch,False
272,21.5,Nuclear Exchange,Regional Escalation Cascade,False
273,16.7,Nuclear Exchange,Regional Escalation Cascade,False
274,17.1,Nuclear Exchange,Automated Response Failure,False
275,22.3,Nuclear Exchange,False Alarm Launch,False
276,28.5,Nuclear Exchange,Great Power Direct Conflict,False
277,81.9,Nuclear Exchange,False Alarm Launch,False
278,16.0,Nuclear Exchange,Regional Escalation Cascade,False
279,8.6,Nuclear Exchange,Automated Response Failure,False
280,34.9,Nuclear Exchange,False Alarm Launch,False
281,6.9,Nuclear Exchange,Regional Escalation Cascade,False
282,12.7,Nuclear Exchange,False Alarm Launch,False
283,72.3,Nuclear Exchange,Regional Escalation Cascade,False
284,39.8,Nuclear Exchange,False Alarm Launch,False
285,26.2,Nuclear Exchange,Great Power Direct Conflict,False
286,11.6,Nuclear Exchange,False Alarm Launch,False
287,4.2,Nuclear Exchange,False Alarm Launch,False
288,3.7,Nuclear Exchange,Great Power Direct Conflict,False
289,6.3,Nuclear Exchange,False Alarm Launch,False
290,17.5,Nuclear Exchange,Regional Escalation Cascade,False
291,27.6,Nuclear Exchange,Regional Escalation Cascade,False
292,23.7,Nuclear Exchange,Regional Escalation Cascade,False
293,7.2,Nuclear Exchange,Regional Escalation Cascade,False
294,68.2,Nuclear Exchange,Regional Escalation Cascade,False
295,29.5,Nuclear Exchange,Great Power Direct Conflict,False
296,17.8,Nuclear Exchange,Great Power Direct Conflict,False
297,20.8,Nuclear Exchange,False Alarm Launch,False
298,12.0,Nuclear Exchange,Regional Escalation Cascade,False
299,6.3,Nuclear Exchange,False Alarm Launch,False
300,9.7,Nuclear Exchange,Regional Escalation Cascade,False
301,31.2,Nuclear Exchange,False Alarm Launch,False
302,2.7,Nuclear Exchange,Great Power Direct Conflict,False
303,42.6,Nuclear Exchange,Regional Escalation Cascade,False
304,26.8,Nuclear Exchange,Great Power Direct Conflict,False
305,14.1,Nuclear Exchange,False Alarm Launch,False
306,2.3,Nuclear Exchange,Great Power Direct Conflict,False
307,14.9,Nuclear Exchange,Great Power Direct Conflict,False
308,14.1,Nuclear Exchange,Great Power Direct Conflict,False
309,4.2,Nuclear Exchange,Automated Response Failure,False
310,12.5,Nuclear Exchange,False Alarm Launch,False
311,11.2,Nuclear Exchange,False Alarm Launch,False
312,21.0,Nuclear Exchange,Regional Escalation Cascade,False
313,22.2,Nuclear Exchange,Regional Escalation Cascade,False
314,10.3,Nuclear Exchange,Regional Escalation Cascade,False
315,21.6,Nuclear Exchange,Great Power Direct Conflict,False
316,15.4,Nuclear Exchange,False Alarm Launch,False
317,42.7,Nuclear Exchange,Great Power Direct Conflict,False
318,23.6,Nuclear Exchange,False Alarm Launch,False
319,3.9,Nuclear Exchange,Great Power Direct Conflict,False
320,22.6,Nuclear Exchange,Regional Escalation Cascade,False
321,19.4,Nuclear Exchange,Great Power Direct Conflict,False
322,62.0,Nuclear Exchange,Automated Response Failure,False
323,18.8,Nuclear Exchange,Regional Escalation Cascade,False
324,10.8,Nuclear Exchange,Automated Response Failure,False
325,22.7,Nuclear Exchange,Automated Response Failure,False
326,13.5,Nuclear Exchange,Regional Escalation Cascade,False
327,17.4,Nuclear Exchange,Automated Response Failure,False
328,62.4,Nuclear Exchange,Automated Response Failure,False
329,10.7,Nuclear Exchange,False Alarm Launch,False
330,71.5,Nuclear Exchange,Great Power Direct Conflict,False
331,51.9,Nuclear Exchange,Automated Response Failure,False
332,4.8,Nuclear Exchange,Great Power Direct Conflict,False
333,2.3,Nuclear Exchange,Automated Response Failure,False
334,2.2,Nuclear Exchange,Regional Escalation Cascade,False
335,25.3,Nuclear Exchange,Regional Escalation Cascade,False
336,8.5,Nuclear Exchange,False Alarm Launch,False
337,41.0,Nuclear Exchange,Regional Escalation Cascade,False
338,37.1,Nuclear Exchange,False Alarm Launch,False
339,7.3,Nuclear Exchange,Regional Escalation Cascade,False
340,2.8,Nuclear Exchange,Great Power Direct Conflict,False
341,26.2,Nuclear Exchange,Automated Response Failure,False
342,21.8,Nuclear Exchange,Automated Response Failure,False
343,46.2,Nuclear Exchange,False Alarm Launch,False
344,29.2,Nuclear Exchange,Regional Escalation Cascade,False
345,35.8,Nuclear Exchange,Great Power Direct Conflict,False
346,7.3,Nuclear Exchange,Great Power Direct Conflict,False
347,4.3,Nuclear Exchange,Regional Escalation Cascade,False
348,30.6,Nuclear Exchange,Automated Response Failure,False
349,36.2,Nuclear Exchange,Regional Escalation Cascade,False
350,102.5,Nuclear Exchange,Automated Response Failure,False
351,11.7,Nuclear Exchange,Regional Escalation Cascade,False
352,10.2,Nuclear Exchange,Automated Response Failure,False
353,33.0,Nuclear Exchange,False Alarm Launch,False
354,9.2,Nuclear Exchange,Great Power Direct Conflict,False
355,58.7,Nuclear Exchange,Regional Escalation Cascade,False
356,43.0,Nuclear Exchange,Automated Response Failure,False
357,12.3,Nuclear Exchange,Automated Response Failure,False
358,30.6,Nuclear Exchange,Automated Response Failure,False
359,30.9,Nuclear Exchange,False Alarm Launch,False
360,2.4,Nuclear Exchange,Automated Response Failure,False
361,51.2,Nuclear Exchange,Great Power Direct Conflict,False
362,15.5,Nuclear Exchange,False Alarm Launch,False
363,38.5,Nuclear Exchange,Automated Response Failure,False
364,8.5,Nuclear Exchange,Great Power Direct Conflict,False
365,49.7,Nuclear Exchange,Automated Response Failure,False
366,10.8,Nuclear Exchange,Great Power Direct Conflict,False
367,51.9,Nuclear Exchange,Great Power Direct Conflict,False
368,2.1,Nuclear Exchange,Automated Response Failure,False
369,8.5,Nuclear Exchange,Great Power Direct Conflict,False
370,65.9,Nuclear Exchange,Regional Escalation Cascade,False
371,66.2,Nuclear Exchange,Automated Response Failure,False
372,18.7,Nuclear Exchange,Regional Escalation Cascade,False
373,22.0,Nuclear Exchange,Great Power Direct Conflict,False
374,13.1,Nuclear Exchange,False Alarm Launch,False
375,7.6,Nuclear Exchange,False Alarm Launch,False
376,8.8,Nuclear Exchange,Great Power Direct Conflict,False
377,24.6,Nuclear Exchange,Regional Escalation Cascade,False
378,30.7,Nuclear Exchange,Automated Response Failure,False
379,34.5,Nuclear Exchange,False Alarm Launch,False
380,34.3,Nuclear Exchange,Regional Escalation Cascade,False
381,2.1,Nuclear Exchange,False Alarm Launch,False
382,15.0,Nuclear Exchange,False Alarm Launch,False
383,17.5,Nuclear Exchange,Great Power Direct Conflict,False
384,12.8,Nuclear Exchange,Automated Response Failure,False
385,48.1,Nuclear Exchange,Regional Escalation Cascade,False
386,9.5,Nuclear Exchange,Regional Escalation Cascade,False
387,2.7,Nuclear Exchange,Automated Response Failure,False
388,3.4,Nuclear Exchange,Regional Escalation Cascade,False
389,31.5,Nuclear Exchange,False Alarm Launch,False
390,21.2,Nuclear Exchange,Automated Response Failure,False
391,2.3,Nuclear Exchange,False Alarm Launch,False
392,26.6,Nuclear Exchange,False Alarm Launch,False
393,38.0,Nuclear Exchange,False Alarm Launch,False
394,26.9,Nuclear Exchange,Automated Response Failure,False
395,94.9,Nuclear Exchange,Regional Escalation Cascade,False
396,10.3,Nuclear Exchange,False Alarm Launch,False
397,10.2,Nuclear Exchange,Automated Response Failure,False
398,36.9,Nuclear Exchange,Automated Response Failure,False
399,64.7,Nuclear Exchange,Great Power Direct Conflict,False
400,93.9,Nuclear Exchange,Great Power Direct Conflict,False
401,30.8,Nuclear Exchange,Great Power Direct Conflict,False
402,10.4,Nuclear Exchange,Regional Escalation Cascade,False
403,33.0,Nuclear Exchange,Regional Escalation Cascade,False
404,18.0,Nuclear Exchange,Regional Escalation Cascade,False
405,12.1,Nuclear Exchange,Regional Escalation Cascade,False
406,52.1,Nuclear Exchange,False Alarm Launch,False
407,2.6,Nuclear Exchange,Automated Response Failure,False
408,14.9,Nuclear Exchange,Automated Response Failure,False
409,13.9,Nuclear Exchange,Great Power Direct Conflict,False
410,2.8,Nuclear Exchange,Automated Response Failure,False
411,2.8,Nuclear Exchange,Regional Escalation Cascade,False
412,23.0,Nuclear Exchange,Automated Response Failure,False
413,30.2,Nuclear Exchange,False Alarm Launch,False
414,19.3,Nuclear Exchange,False Alarm Launch,False
415,72.0,Nuclear Exchange,Great Power Direct Conflict,False
416,10.3,Nuclear Exchange,Regional Escalation Cascade,False
417,7.4,Nuclear Exchange,Automated Response Failure,False
418,44.6,Nuclear Exchange,Great Power Direct Conflict,False
419,5.6,Nuclear Exchange,Automated Response Failure,False
420,72.7,Nuclear Exchange,Great Power Direct Conflict,False
421,77.1,Nuclear Exchange,Great Power Direct Conflict,False
422,48.8,Nuclear Exchange,False Alarm Launch,False
423,16.5,Nuclear Exchange,False Alarm Launch,False
424,109.1,Nuclear Exchange,False Alarm Launch,False
425,17.8,Nuclear Exchange,Great Power Direct Conflict,False
426,76.6,Nuclear Exchange,False Alarm Launch,False
427,16.3,Nuclear Exchange,False Alarm Launch,False
428,21.8,Nuclear Exchange,Regional Escalation Cascade,False
429,26.2,Nuclear Exchange,Automated Response Failure,False
430,13.3,Nuclear Exchange,Automated Response Failure,False
431,21.7,Nuclear Exchange,Regional Escalation Cascade,False
432,19.3,Nuclear Exchange,Regional Escalation Cascade,False
433,50.9,Nuclear Exchange,False Alarm Launch,False
434,7.3,Nuclear Exchange,False Alarm Launch,False
435,66.1,Nuclear Exchange,Automated Response Failure,False
436,48.6,Nuclear Exchange,Regional Escalation Cascade,False
437,13.4,Nuclear Exchange,Regional Escalation Cascade,False
438,21.3,Nuclear Exchange,False Alarm Launch,False
439,7.1,Nuclear Exchange,Automated Response Failure,False
440,4.6,Nuclear Exchange,Great Power Direct Conflict,False
441,13.7,Nuclear Exchange,Regional Escalation Cascade,False
442,9.6,Nuclear Exchange,Automated Response Failure,False
443,19.3,Nuclear Exchange,Automated Response Failure,False
444,80.6,Nuclear Exchange,Automated Response Failure,False
445,94.2,Nuclear Exchange,Regional Escalation Cascade,False
446,26.4,Nuclear Exchange,Great Power Direct Conflict,False
447,16.9,Nuclear Exchange,False Alarm Launch,False
448,8.1,Nuclear Exchange,Great Power Direct Conflict,False
449,37.0,Nuclear Exchange,Automated Response Failure,False
450,25.4,Nuclear Exchange,Regional Escalation Cascade,False
451,3.9,Nuclear Exchange,Regional Escalation Cascade,False
452,53.2,Nuclear Exchange,Great Power Direct Conflict,False
453,38.0,Nuclear Exchange,Great Power Direct Conflict,False
454,65.8,Nuclear Exchange,Regional Escalation Cascade,False
455,28.5,Nuclear Exchange,Great Power Direct Conflict,False
456,20.9,Nuclear Exchange,False Alarm Launch,False
457,11.9,Nuclear Exchange,False Alarm Launch,False
458,59.4,Nuclear Exchange,False Alarm Launch,False
459,44.2,Nuclear Exchange,Automated Response Failure,False
460,10.4,Nuclear Exchange,Great Power Direct Conflict,False
461,36.6,Nuclear Exchange,Regional Escalation Cascade,False
462,96.0,Nuclear Exchange,Automated Response Failure,False
463,3.6,Nuclear Exchange,Regional Escalation Cascade,False
464,19.8,Nuclear Exchange,Great Power Direct Conflict,False
465,10.5,Nuclear Exchange,Great Power Direct Conflict,False
466,77.1,Nuclear Exchange,Automated Response Failure,False
467,40.6,Nuclear Exchange,Automated Response Failure,False
468,40.1,Nuclear Exchange,False Alarm Launch,False
469,13.9,Nuclear Exchange,Automated Response Failure,False
470,11.8,Nuclear Exchange,False Alarm Launch,False
471,7.0,Nuclear Exchange,Automated Response Failure,False
472,44.0,Nuclear Exchange,False Alarm Launch,False
473,36.9,Nuclear Exchange,Great Power Direct Conflict,False
474,179.8,Nuclear Exchange,Regional Escalation Cascade,False
475,125.3,Nuclear Exchange,Great Power Direct Conflict,False
476,17.8,Nuclear Exchange,False Alarm Launch,False
477,32.2,Nuclear Exchange,Great Power Direct Conflict,False
478,63.7,Nuclear Exchange,Automated Response Failure,False
479,41.7,Nuclear Exchange,Automated Response Failure,False
480,6.3,Nuclear Exchange,Regional Escalation Cascade,False
481,13.2,Nuclear Exchange,Regional Escalation Cascade,False
482,3.0,Nuclear Exchange,Great Power Direct Conflict,False
483,67.8,Nuclear Exchange,Regional Escalation Cascade,False
484,20.5,Nuclear Exchange,Automated Response Failure,False
485,5.7,Nuclear Exchange,Automated Response Failure,False
486,24.5,Nuclear Exchange,Automated Response Failure,False
487,21.2,Nuclear Exchange,False Alarm Launch,False
488,9.8,Nuclear Exchange,False Alarm Launch,False
489,2.7,Nuclear Exchange,Great Power Direct Conflict,False
